id;id_usuario_incra;cpf_cnpj_solicitante;data_solicitacao;situacao;conteudo;protocolo
1;21669;Central solid state silver;2021-03-22T02:24:10;cutting-edge proactive Intelligent Rubber Cheese;withdrawal THX;Avenue Slovenia
2;10032;Credit Card Account Handmade Concrete Cheese incubate;2021-03-22T06:21:22;Operations;AI feed;markets Cambridgeshire payment
3;15378;distributed;2021-03-22T12:47:48;auxiliary;payment Awesome;Extended
4;36769;Optional Colorado;2021-03-22T14:48:17;calculating Syrian Arab Republic;Intranet Officer front-end;Intelligent Plastic Bike Toys capability
5;97720;pixel Electronics Sleek;2021-03-22T05:38:08;Concrete Credit Card Account Hat;Devolved PCI;GB open-source
6;53458;New Mexico;2021-03-22T07:42:29;e-markets Future;Tasty;Dynamic
7;74675;local area network Shoes solid state;2021-03-22T01:21:32;revolutionize;optimal 6th generation;Soft Burundi Franc Fresh
8;24334;Legacy Investment Account generate;2021-03-22T14:07:23;synthesize Portugal schemas;Fantastic virtual Uganda Shilling;collaborative
9;68319;overriding pink Iceland Krona;2021-03-21T22:41:20;Kentucky Generic Cotton Sausages;SQL withdrawal;generate Progressive
10;93156;Frozen lavender Pre-emptive;2021-03-22T05:15:10;user-centric Spur;Berkshire copy implementation;transmitting Intelligent
