id;id_tipo_validacao;id_solicitacao;data_validacao;resultado;situacao;resultado_parecer;id_usuario_incra;data_parecer
1;89457;69305;2021-03-21T22:59:30;Burgs Generic navigate;Handcrafted Rubber Tuna Fresh Internal;black Down-sized extranet;8028;2021-03-22T10:44:50
2;79831;97797;2021-03-21T23:11:31;Unbranded Metal Chair Forward;Grocery Fantastic Rubber Car;Practical Metal Chips auxiliary architectures;64027;2021-03-22T19:21:09
3;72695;20994;2021-03-22T00:55:04;Zloty;teal object-oriented;Circle back up;64666;2021-03-22T06:49:15
4;72983;22067;2021-03-22T04:37:21;relationships Ranch focus group;Cotton primary Fully-configurable;cyan Credit Card Account Iowa;20461;2021-03-22T00:00:57
5;12499;91486;2021-03-22T10:35:22;deposit Sausages;Chicken;system;22408;2021-03-22T08:14:04
6;40929;91193;2021-03-22T05:56:19;1080p;leading edge Reverse-engineered local;SMTP redundant;10266;2021-03-22T02:58:05
7;87706;87113;2021-03-22T18:47:46;payment Optimization Kentucky;Research Home Loan Account;programming Metal;53662;2021-03-22T03:55:34
8;95301;97280;2021-03-22T06:45:43;Re-contextualized Sleek Concrete Fish;deposit;Towels Ergonomic Soft Bacon Product;66945;2021-03-22T19:08:31
9;31374;76834;2021-03-22T10:25:51;solid state;bus;calculating customized;70818;2021-03-22T04:53:18
10;30522;76166;2021-03-22T02:16:22;Program Health;Checking Account Saudi Riyal;process improvement payment payment;52490;2021-03-21T20:00:51
